bx,by,bz,rx,ry,rz,heading
0.4856698,0.011489632,1.1784873,-2.0099463,0.3724402,0.7272365,-0.06566236913204193
0.36808315,0.011183027,1.1832572,-2.0098152,0.36450768,0.7224017,-0.04185985401272774
0.25185323,0.01087996,1.1840683,-2.0104709,0.3557673,0.71752346,-0.020528700202703476
0.13694863,0.010580349,1.1809661,-2.0117378,0.3467345,0.71246874,-0.0025785642210394144
0.023340575,0.010284119,1.173995,-2.0130107,0.3375427,0.70708513,0.011670757085084915
-0.088997275,0.0099912,1.1631975,-2.0137649,0.32814783,0.7009458,0.025750387459993362
-0.20008902,0.0097015295,1.1486154,-2.0142915,0.31887656,0.69464236,0.03589406609535217
-0.30995655,0.009415053,1.1302893,-2.0156856,0.31072608,0.68864256,0.03515157103538513
-0.41861975,0.009131716,1.1082594,-2.0180547,0.30379295,0.68305224,0.03359140828251839
-0.5260967,0.008851472,1.0825655,-2.0208576,0.2981325,0.67781264,0.030564382672309875
-0.63240343,0.00857428,1.0532465,-2.0239751,0.2937171,0.6731331,0.01967785134911537
-0.7375545,0.008300101,1.0203416,-2.0271766,0.29039764,0.6689273,0.0022361809387803078
-0.84156287,0.008028901,0.9838894,-2.0302052,0.2879661,0.6647962,-0.018164370208978653
-0.94444,0.007760651,0.9439287,-2.0330567,0.28625545,0.6605641,-0.03914111852645874
-1.0461962,0.007495323,0.9004989,-2.035907,0.28519368,0.6563575,-0.059251319617033005
-1.1468406,0.007232895,0.853639,-2.0388694,0.28461385,0.6522583,-0.07662469893693924
-1.2463808,0.0069733458,0.8033886,-2.041854,0.28434926,0.64847517,-0.091188445687294
-1.3212543,0.0067791347,0.8444421,-2.044331,0.2841119,0.645822,-0.10220885276794434
-1.3943422,0.0065897442,0.8858541,-2.045786,0.28391644,0.6447801,-0.1072310283780098
-1.4668323,0.006401903,0.9230177,-2.0467339,0.28365937,0.6452002,-0.10589241236448288
-1.5387467,0.006215552,0.95597595,-2.0481615,0.2839439,0.64585835,-0.10597538203001022
-1.6101062,0.006030639,0.9847695,-2.0508077,0.28458467,0.6457868,-0.11165651679039001
-1.6809295,0.0058471155,1.009436,-2.054818,0.2854961,0.6451498,-0.12138756364583969
-1.7074618,0.009878867,0.9784848,-2.0595481,0.28676683,0.64480263,-0.13126948475837708
-1.6206591,0.024225041,0.8071589,-2.0639658,0.28835964,0.6449886,-0.13584525883197784
-1.5354985,0.038299832,0.6351835,-2.067395,0.29013526,0.6448543,-0.1358829140663147
-1.4519476,0.052108586,0.46256822,-2.0697272,0.29172748,0.643672,-0.13013461232185364
-1.3699747,0.06565654,0.28932256,-2.0711045,0.29273736,0.64139134,-0.1220715120434761
-1.2895491,0.078948766,0.11545634,-2.0716872,0.29282945,0.63858044,-0.11719124764204025
-1.2184974,0.09249081,0.020500159,-2.0717556,0.29206333,0.63578,-0.11607858538627625
1.2327076,0.049115356,1.0584602,-2.0716038,0.29050437,0.63300705,-0.11543554812669754
1.1167988,0.049187772,1.0826815,-2.071375,0.28798378,0.6299402,-0.10949744284152985
1.0022321,0.049259346,1.1027185,-2.0712209,0.28433183,0.6260744,-0.09564918279647827
0.8889695,0.049330108,1.1186235,-2.070385,0.28023535,0.62279016,-0.0757867619395256
0.77697545,0.049400076,1.1304462,-2.068397,0.27672893,0.62067443,-0.054200511425733566
0.6662172,0.049469274,1.1382337,-2.0652544,0.2748672,0.6200091,-0.033727116882801056
0.5566647,0.049537707,1.1420318,-2.0609894,0.2748022,0.6204742,-0.01817357912659645
0.44829047,0.049605414,1.1418839,-2.0557146,0.27587694,0.62155986,-0.009983777068555355
0.3410695,0.0496724,1.1378324,-2.0495331,0.27752665,0.62289757,-0.006998205091804266
0.23497888,0.049738683,1.1299179,-2.043341,0.27981034,0.6248899,-0.011904607526957989
0.12999797,0.04980427,1.1181806,-2.0382018,0.2829068,0.62913334,-0.026455989107489586
0.026108157,0.049869176,1.1026598,-2.0321498,0.2859667,0.6353916,-0.03815010190010071
-0.07670722,0.04993341,1.0833939,-2.0245655,0.28821862,0.642291,-0.04161503165960312
-0.17846303,0.049996983,1.0604208,-2.0165248,0.28982806,0.648644,-0.042618196457624435
-0.27917236,0.050059903,1.0337778,-2.0087085,0.2907292,0.6537558,-0.044762756675481796
-0.3788468,0.050122175,1.0035031,-2.0011246,0.2907719,0.6576623,-0.048444051295518875
-0.47749642,0.050183807,0.96963376,-1.9933438,0.2901238,0.6607789,-0.053203459829092026
-0.57512987,0.050244804,0.9322076,-1.9850867,0.2891894,0.6635217,-0.0608316995203495
-0.67175466,0.050305173,0.8912623,-1.9764565,0.28835127,0.6661447,-0.07192110270261765
-0.76737714,0.05036491,0.8468362,-1.9675775,0.2878304,0.6687634,-0.08515705913305283
-0.8607585,0.05042327,0.8039439,-1.9586293,0.28789175,0.67122465,-0.10249894112348557
-0.9309789,0.05046892,0.84673893,-1.95026,0.28887632,0.6739072,-0.1259889453649521
-1.0006373,0.050514203,0.8852815,-1.9421089,0.29064918,0.6759944,-0.15228234231472015
-1.0697558,0.050559144,0.9196148,-1.9339035,0.29276514,0.6773975,-0.17569801211357117
-1.1383541,0.050603744,0.949779,-1.9254564,0.29481077,0.6779721,-0.1908145546913147
-1.2064509,0.050648015,0.9758115,-1.9166205,0.2965367,0.67775804,-0.19662310183048248
-1.2740631,0.050691973,0.99774706,-1.9074378,0.29803142,0.6764478,-0.19791914522647858
-1.3412052,0.050735626,1.0156182,-1.897877,0.29943374,0.6739593,-0.19970089197158813
-1.4078904,0.05077898,1.0294555,-1.887242,0.30069003,0.67212427,-0.20888859033584595
-1.4741303,0.05082205,1.0392884,-1.8775353,0.30177978,0.6720237,-0.2156877964735031
-1.5399345,0.050864834,1.0451442,-1.8701856,0.3030661,0.6725276,-0.2235216498374939
-1.6053113,0.05090734,1.0470495,-1.8655077,0.3047115,0.67265093,-0.23126888275146484
-1.6316426,0.050746337,1.0120264,-1.863497,0.3063871,0.67154694,-0.23917827010154724
-1.5947264,0.050260704,0.91699094,-1.8638546,0.3080189,0.66921383,-0.2502683997154236
-1.558186,0.049780015,0.8190165,-1.8661729,0.30905414,0.6660367,-0.2536531090736389
-1.5220267,0.049304336,0.7181585,-1.8693445,0.30902717,0.66272116,-0.24505044519901276
-1.4862534,0.048833743,0.6144728,-1.8722211,0.3079467,0.6597191,-0.23087939620018005
-1.4508715,0.048368286,0.50801563,-1.8743783,0.30598468,0.65688676,-0.21689026057720184
-1.4158845,0.047908027,0.39884377,-1.8759553,0.30321616,0.65376765,-0.20824149250984192
-1.3812968,0.047453027,0.28701395,-1.8773268,0.29953307,0.64992386,-0.20594294369220734
-1.3471117,0.04700332,0.17258325,-1.8787218,0.2947207,0.64558953,-0.20651239156723022
-1.3133328,0.04655896,0.055608764,-1.8798839,0.28891546,0.64228153,-0.2045717090368271
1.2393736,0.0015944319,1.0612973,-1.8809304,0.28289223,0.6401371,-0.19652804732322693
1.1299899,0.0019718949,1.0883387,-1.88204,0.27691656,0.63825905,-0.17722183465957642
1.0218115,0.0023451992,1.1111776,-1.8832831,0.27121156,0.6360716,-0.15467004477977753
